req_id,client_id,send_time_rel
0,0,0.0
2967,1,0.0
6014,2,0.0
9045,3,0.0
12059,4,0.0
15121,5,0.0
17932,6,0.0
20962,7,0.0
24070,8,0.0
27116,9,0.0
2968,1,0.003309
2969,1,0.005028
2970,1,0.006097
6015,2,0.007413
20963,7,0.012304
9046,3,0.015233
6016,2,0.017116
27117,9,0.025897
20964,7,0.026246
12060,4,0.028474
24071,8,0.029819
2971,1,0.029922
12061,4,0.031529
9047,3,0.032625
20965,7,0.035373
24072,8,0.040139
6017,2,0.04123
1,0,0.048084
27118,9,0.051717
15122,5,0.054763
12062,4,0.055544
17933,6,0.059683
9048,3,0.0601
2972,1,0.060999
6018,2,0.062752
20966,7,0.065015
9049,3,0.067073
12063,4,0.067757
27119,9,0.068638
2973,1,0.069083
15123,5,0.074124
6019,2,0.074213
24073,8,0.074811
6020,2,0.076011
20967,7,0.077615
20968,7,0.07809
27120,9,0.082469
17934,6,0.082743
24074,8,0.090791
6021,2,0.091834
9050,3,0.092066
2,0,0.094808
2974,1,0.095933
9051,3,0.09602
24075,8,0.096357
12064,4,0.098034
2975,1,0.098343
15124,5,0.098552
12065,4,0.09952
9052,3,0.101695
15125,5,0.101889
9053,3,0.103954
12066,4,0.107309
9054,3,0.111629
17935,6,0.115257
27121,9,0.117679
15126,5,0.118181
2976,1,0.119719
9055,3,0.12596
27122,9,0.127902
6022,2,0.129482
2977,1,0.130515
9056,3,0.134165
3,0,0.142503
17936,6,0.143956
15127,5,0.145555
17937,6,0.145748
12067,4,0.147091
24076,8,0.147116
4,0,0.148099
24077,8,0.148435
5,0,0.149828
15128,5,0.151197
2978,1,0.151524
27123,9,0.152465
24078,8,0.153207
24079,8,0.155249
6023,2,0.155713
12068,4,0.157354
17938,6,0.157625
27124,9,0.159739
15129,5,0.161612
24080,8,0.165031
15130,5,0.170037
15131,5,0.173096
6,0,0.178881
12069,4,0.184198
20969,7,0.185861
15132,5,0.188957
6024,2,0.190323
17939,6,0.191786
27125,9,0.192009
24081,8,0.193953
9057,3,0.197663
6025,2,0.198315
27126,9,0.199109
24082,8,0.204781
7,0,0.20708
27127,9,0.211621
6026,2,0.212506
12070,4,0.213434
12071,4,0.213734
20970,7,0.215747
20971,7,0.219285
2979,1,0.219764
27128,9,0.227494
12072,4,0.22761
9058,3,0.229156
24083,8,0.229607
27129,9,0.233027
2980,1,0.234281
24084,8,0.237313
15133,5,0.239137
15134,5,0.240299
12073,4,0.2408
12074,4,0.241877
24085,8,0.243259
12075,4,0.250459
12076,4,0.25423
12077,4,0.257956
2981,1,0.259239
27130,9,0.262229
6027,2,0.263155
12078,4,0.264477
17940,6,0.26508
27131,9,0.267406
8,0,0.269566
9059,3,0.270139
9,0,0.271152
15135,5,0.271191
17941,6,0.273328
6028,2,0.277667
6029,2,0.27807
2982,1,0.280718
2983,1,0.280798
17942,6,0.281418
27132,9,0.28325
9060,3,0.284485
2984,1,0.285258
17943,6,0.287255
17944,6,0.290133
20972,7,0.2912
24086,8,0.291488
27133,9,0.291574
10,0,0.292083
2985,1,0.292863
11,0,0.293492
24087,8,0.29838
20973,7,0.301614
12079,4,0.304841
12080,4,0.305076
20974,7,0.305685
12081,4,0.309293
2986,1,0.311518
15136,5,0.311741
12082,4,0.314952
12,0,0.315272
15137,5,0.318098
6030,2,0.318343
24088,8,0.319539
24089,8,0.31978
20975,7,0.32149
27134,9,0.323323
2987,1,0.325162
17945,6,0.329513
20976,7,0.33027
9061,3,0.33187
20977,7,0.332429
20978,7,0.33411
12083,4,0.337536
6031,2,0.337574
20979,7,0.338617
15138,5,0.340249
24090,8,0.347651
12084,4,0.348128
13,0,0.349899
12085,4,0.352085
12086,4,0.3557
14,0,0.357637
20980,7,0.362511
20981,7,0.363513
24091,8,0.367773
27135,9,0.368847
12087,4,0.368856
6032,2,0.371353
15139,5,0.37395
24092,8,0.375113
6033,2,0.375689
17946,6,0.378332
27136,9,0.379138
6034,2,0.379782
