req_id,client_id,send_time_rel
0,0,0.0
2368,1,0.0
4787,2,0.0
7218,3,0.0
9656,4,0.0
12131,5,0.0
14398,6,0.0
16829,7,0.0
19318,8,0.0
21769,9,0.0
2369,1,0.004137
2370,1,0.006286
2371,1,0.007621
4788,2,0.009266
16830,7,0.015381
7219,3,0.019042
4789,2,0.021395
21770,9,0.032371
16831,7,0.032808
9657,4,0.035593
19319,8,0.037274
2372,1,0.037402
9658,4,0.039412
7220,3,0.040782
16832,7,0.044216
19320,8,0.050173
4790,2,0.051537
1,0,0.060105
21771,9,0.064646
12132,5,0.068454
9659,4,0.06943
14399,6,0.074604
7221,3,0.075125
2373,1,0.076248
4791,2,0.07844
16833,7,0.081269
7222,3,0.083842
9660,4,0.084696
21772,9,0.085797
2374,1,0.086354
12133,5,0.092655
4792,2,0.092766
19321,8,0.093513
4793,2,0.095013
16834,7,0.097019
16835,7,0.097612
21773,9,0.103086
14400,6,0.103429
19322,8,0.113489
4794,2,0.114793
7223,3,0.115083
2,0,0.11851
2375,1,0.119917
7224,3,0.120025
19323,8,0.120447
9661,4,0.122542
2376,1,0.122929
12134,5,0.12319
9662,4,0.1244
7225,3,0.127118
12135,5,0.127361
7226,3,0.129943
9663,4,0.134136
7227,3,0.139537
14401,6,0.144071
21774,9,0.147099
12136,5,0.147726
2377,1,0.149649
7228,3,0.157451
21775,9,0.159877
4795,2,0.161853
2378,1,0.163143
7229,3,0.167707
3,0,0.178129
14402,6,0.179945
12137,5,0.181944
14403,6,0.182185
9664,4,0.183864
19324,8,0.183895
4,0,0.185124
19325,8,0.185543
5,0,0.187285
12138,5,0.188996
2379,1,0.189405
21776,9,0.190581
19326,8,0.191509
19327,8,0.194061
4796,2,0.194641
9665,4,0.196693
14404,6,0.197032
21777,9,0.199673
12139,5,0.202016
19328,8,0.206288
12140,5,0.212546
12141,5,0.216369
6,0,0.223601
9666,4,0.230248
16836,7,0.232326
12142,5,0.236196
4797,2,0.237904
14405,6,0.239733
21778,9,0.240011
19329,8,0.242441
7230,3,0.247079
4798,2,0.247894
21779,9,0.248887
19330,8,0.255976
7,0,0.25885
21780,9,0.264527
4799,2,0.265633
9667,4,0.266792
9668,4,0.267168
16837,7,0.269684
16838,7,0.274107
2380,1,0.274705
