model_name,dataset_name,device,model_load_duration_sec,gpu_load_memory_mb,avg_cpu_memory_usage_mb,avg_cpu_usage_percent,avg_gpu_usage_percent,avg_gpu_memory_usage_mb,total_prompt_tokens,total_generated_tokens,ttft_ms,avg_latency_ms,throughput_tps,accuracy,total_time,num_samples,gpu_name
vikhyatk/moondream2,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/crowd_counting,cuda:0,1.837528944015503,5475.9375,1080.09375,25.445000000000007,89.53,780.0,3400,100,0,201.99114799499512,4.777009384958607,0.14,20.93359923362732,100,
vikhyatk/moondream2,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/crowd_counting,cuda:0,1.686694860458374,5475.9375,1047.45828125,24.425000000000004,89.32,780.0,1900,100,0,201.63615703582764,4.7836871167090464,0.0,20.904377222061157,100,
vikhyatk/moondream2,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/crowd_counting,cuda:0,1.668083906173706,5475.9375,1057.008125,24.18900000000001,89.45,780.0,1900,100,0,201.68436288833618,4.782406471164567,0.0,20.909975051879883,100,
vikhyatk/moondream2,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/crowd_counting,cuda:0,1.7466483116149902,5475.9375,1057.40390625,24.127000000000006,89.47,780.0,3300,100,0,203.33410501480103,4.744758363769778,0.15,21.075888872146606,100,NVIDIA RTX A6000
llava-hf/llava-1.5-7b-hf,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/crowd_counting,cuda:0,23.460142374038696,15251.9375,1214.6365625,22.940999999999995,93.16,714.0,64700,300,0,231.8496823310852,12.545579867077938,0.67,23.91280460357666,100,NVIDIA RTX A6000
llava-hf/llava-1.5-13b-hf,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/crowd_counting,cuda:0,43.06026101112366,27243.9375,1262.047890625,22.135000000000005,98.62,1054.0,64700,324,0,396.024112701416,7.860995181170075,0.27,41.21615552902222,100,NVIDIA RTX A6000
llava-hf/llava-v1.6-vicuna-13b-hf,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/crowd_counting,cuda:0,41.165956258773804,27243.9375,1257.4246875,20.173999999999992,99.5,2916.0,201800,325,0,893.2103085517883,3.6082183796535383,0.15,90.07215356826782,100,NVIDIA RTX A6000
Qwen/Qwen2.5-VL-3B-Instruct,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/crowd_counting,cuda:0,13.128215789794922,9651.9375,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,9.222893714904785,100,NVIDIA RTX A6000
Qwen/Qwen2.5-VL-7B-Instruct,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/crowd_counting,cuda:0,27.978497743606567,19719.9375,1682.94359375,22.42,98.23,23.76,273537,215,0,993.5512948036194,2.130234945018924,0.16161616161616163,100.92783451080322,100,NVIDIA RTX A6000
microsoft/Phi-3.5-vision-instruct,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/crowd_counting,cuda:0,17.35167694091797,9973.9375,1411.72875,22.334999999999994,96.15,148.0,82600,471,0,745.0206995010376,6.258452112578446,0.21,75.258225440979,100,NVIDIA RTX A6000
allenai/Molmo-7B-D-0924,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/crowd_counting,cuda:0,57.56189203262329,32441.9375,1158.9859765625,24.334999999999987,99.97,4215.38,125200,300,0,2083.604335784912,1.4293346165802898,0.12,209.88787126541138,100,NVIDIA RTX A6000
meta-llama/Llama-3.2-11B-Vision-Instruct,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/crowd_counting,cuda:0,35.68336844444275,23175.9375,1314.5144921875,25.232000000000003,98.66,34.0,6200,1855,0,644.5463681221008,28.39900607708121,0.0,65.31918740272522,100,NVIDIA RTX A6000
openbmb/MiniCPM-V-2_6,/home/pragya/Desktop/FMaaS-motivation/vqa/updated/dataset/crowd_counting,cuda:0,31.453004121780396,17483.9375,1633.8255078125,21.776999999999983,96.39,777.94,3900,101,0,441.619668006897,2.2021740397151195,0.26,45.863768339157104,100,NVIDIA RTX A6000
