task,send_time_s,latency_ms,device_exec_ms,queue_delay_ms,phase,pred,true
llm_ag_news,0.0001,84.256,74.441,9.513,1,Business,business
llm_ag_news,0.0294,54.975,54.248,0.432,1,Business,sci/tech
llm_ag_news,0.2045,60.042,59.059,0.610,1,Science/Tech,sci/tech
llm_ag_news,0.2797,32.343,31.747,0.342,1,Business,sci/tech
llm_ag_news,0.4522,23.873,23.053,0.579,1,Business,sci/tech
llm_ag_news,0.4882,33.408,32.782,0.290,1,Business,sci/tech
llm_ag_news,0.5214,33.740,31.563,0.367,1,Business,sci/tech
llm_ag_news,0.5467,38.229,37.128,0.829,1,Business,sci/tech
llm_ag_news,0.6510,24.109,23.073,0.578,1,Business,sci/tech
llm_ag_news,0.7159,60.887,60.097,0.441,1,Business,sci/tech
llm_ag_news,0.8039,48.761,47.976,0.448,1,Science/Tech,sci/tech
llm_ag_news,0.9311,31.881,31.230,0.362,1,Business,sci/tech
llm_ag_news,1.0464,27.906,27.391,0.282,1,Business,sci/tech
llm_ag_news,1.1515,40.165,39.262,0.567,1,Science/Tech,sci/tech
llm_ag_news,1.2908,37.820,36.919,0.591,1,Business,sci/tech
llm_ag_news,1.2942,50.912,50.360,0.351,1,Science/Tech,sci/tech
llm_ag_news,1.4451,64.353,63.674,0.502,1,Science/Tech,sci/tech
llm_ag_news,1.5746,92.492,91.670,0.518,1,Science/Tech,sci/tech
llm_ag_news,1.6428,24.231,23.703,0.319,1,Business,sci/tech
llm_ag_news,1.6191,56.341,55.794,0.386,1,Science/Tech,sci/tech
llm_ag_news,1.7135,23.157,22.392,0.494,1,Business,sci/tech
llm_ag_news,1.9160,80.678,80.061,0.333,1,Business,sci/tech
llm_ag_news,1.9488,64.661,64.145,0.319,1,Science/Tech,sci/tech
llm_ag_news,2.0920,45.762,45.124,0.296,1,Business,sci/tech
llm_ag_news,2.3896,24.954,24.089,0.592,1,Business,sci/tech
llm_ag_news,2.4296,37.145,36.466,0.309,1,Business,sci/tech
llm_ag_news,2.8593,56.831,55.612,0.359,1,Sports,sports
llm_ag_news,2.8656,50.602,49.528,0.359,1,Sports,sports
llm_ag_news,2.8688,47.381,46.451,0.254,1,Sports,sports
llm_ag_news,3.0554,51.893,51.173,0.484,1,Sports,sports
llm_ag_news,3.1194,26.684,26.196,0.295,1,Sports,sports
llm_ag_news,3.1804,29.666,29.191,0.292,1,Sports,sports
llm_ag_news,3.3759,23.655,22.974,0.438,1,Business,world
llm_ag_news,3.6240,47.968,46.995,0.585,1,Business,world
llm_ag_news,3.7061,33.047,32.336,0.459,1,World,world
llm_ag_news,3.9162,32.727,31.965,0.417,1,Business,world
llm_ag_news,4.0179,22.520,21.827,0.417,1,World,world
llm_ag_news,4.0675,23.199,22.463,0.437,1,Business,world
llm_ag_news,4.0918,36.750,36.110,0.283,1,World,world
llm_ag_news,4.2295,49.549,48.795,0.493,1,World,world
llm_ag_news,4.4439,25.046,24.264,0.473,1,Sports,sports
llm_ag_news,4.7113,25.100,24.179,0.605,1,Business,business
llm_ag_news,4.7415,23.485,22.922,0.288,1,World,world
llm_ag_news,4.8436,38.161,37.416,0.389,1,Business,sci/tech
llm_ag_news,4.8951,41.151,40.627,0.324,1,Sports,sports
llm_ag_news,5.0668,458.867,454.284,0.393,2,Sports,sports
llm_ag_news,5.0690,456.636,452.368,0.235,2,World,world
llm_ag_news,5.0702,455.454,451.245,0.217,2,Business,sci/tech
llm_ag_news,5.0754,450.255,445.923,0.377,2,World,world
llm_ag_news,5.0766,449.075,444.822,0.336,2,Sports,sports
llm_ag_news,5.0828,442.895,438.746,0.266,2,World,world
llm_ag_news,5.0900,435.692,431.579,0.268,2,Sports,sports
llm_ag_news,5.0912,434.494,430.448,0.231,2,World,world
llm_ag_news,5.1354,390.283,386.024,0.474,2,Business,sci/tech
llm_ag_news,5.1397,385.992,381.970,0.267,2,Business,business
llm_ag_news,5.1569,368.779,364.451,0.602,2,Business,sci/tech
llm_ag_news,5.1603,365.418,361.303,0.415,2,Business,world
llm_ag_news,5.1675,358.223,354.236,0.309,2,World,world
llm_ag_news,5.1687,357.026,353.134,0.237,2,Business,business
llm_ag_news,5.1699,355.842,351.939,0.269,2,Business,business
llm_ag_news,5.1699,355.838,351.837,0.393,2,Sports,sports
llm_ag_news,5.1933,332.415,328.570,0.284,2,Sports,sports
llm_ag_news,5.1985,327.237,323.458,0.240,2,Sports,sports
llm_ag_news,5.2087,317.065,313.262,0.286,2,Business,sci/tech
llm_ag_news,5.2208,304.878,301.082,0.299,2,World,world
llm_ag_news,5.2230,302.680,298.970,0.234,2,Business,sci/tech
llm_ag_news,5.2652,260.490,256.608,0.429,2,World,world
llm_ag_news,5.2735,252.255,248.573,0.250,2,Sports,world
llm_ag_news,5.2747,251.083,247.451,0.223,2,Sports,sports
llm_ag_news,5.2758,249.905,245.827,0.691,2,World,world
llm_ag_news,5.2835,242.257,238.665,0.231,2,Business,sci/tech
llm_ag_news,5.2847,241.092,237.542,0.214,2,Business,sci/tech
llm_ag_news,5.3000,225.754,222.005,0.436,2,Business,world
llm_ag_news,5.3052,220.523,216.902,0.323,2,Sports,sports
llm_ag_news,5.3284,197.341,193.702,0.366,2,Business,world
llm_ag_news,5.3296,196.157,192.452,0.455,2,Sports,sports
llm_ag_news,5.3430,182.755,179.277,0.271,2,World,world
llm_ag_news,5.3442,181.578,178.168,0.224,2,Sports,world
llm_ag_news,5.3824,143.383,139.744,0.475,2,Business,world
llm_ag_news,5.3857,140.096,136.587,0.367,2,Sports,sports
llm_ag_news,5.3890,136.805,133.437,0.249,2,Business,business
llm_ag_news,5.4052,120.605,117.169,0.340,2,Business,business
llm_ag_news,5.4374,88.351,84.779,0.498,2,World,world
llm_ag_news,5.4827,43.080,39.551,0.482,2,World,world
llm_ag_news,5.8578,27.397,26.776,0.240,2,,sci/tech
llm_ag_news,5.5020,562.759,561.168,1.183,2,Business,business
llm_ag_news,5.5271,538.538,537.396,0.404,2,Business,world
llm_ag_news,5.5423,523.293,522.335,0.319,2,Sports,world
