req_id,client_id,send_time_rel
0,0,0.0
596,1,0.0
1201,2,0.0
1844,3,0.0
2434,4,0.0
3066,5,0.0
3637,6,0.0
4254,7,0.0
4884,8,0.0
5477,9,0.0
597,1,0.016546
598,1,0.025142
599,1,0.030485
1202,2,0.037063
4255,7,0.061522
1845,3,0.076167
1203,2,0.08558
5478,9,0.129485
4256,7,0.13123
2435,4,0.142371
4885,8,0.149095
600,1,0.149608
2436,4,0.157646
1846,3,0.163126
4257,7,0.176863
4886,8,0.200694
1204,2,0.206148
1,0,0.240421
5479,9,0.258585
3067,5,0.273814
2437,4,0.277721
3638,6,0.298417
1847,3,0.300501
601,1,0.304994
1205,2,0.313762
4258,7,0.325077
1848,3,0.335367
2438,4,0.338785
5480,9,0.343189
602,1,0.345417
3068,5,0.370621
1206,2,0.371065
4887,8,0.374053
1207,2,0.380053
4259,7,0.388075
4260,7,0.390448
5481,9,0.412343
3639,6,0.413716
4888,8,0.453957
1208,2,0.459172
1849,3,0.460332
2,0,0.47404
603,1,0.479667
1850,3,0.4801
4889,8,0.481787
2439,4,0.490169
604,1,0.491715
3069,5,0.492761
2440,4,0.497601
1851,3,0.508474
3070,5,0.509445
1852,3,0.519772
2441,4,0.536546
1853,3,0.558146
3640,6,0.576285
5482,9,0.588395
3071,5,0.590904
605,1,0.598594
1854,3,0.629802
5483,9,0.639509
1209,2,0.64741
606,1,0.652573
1855,3,0.670827
3,0,0.712516
3641,6,0.71978
3072,5,0.727776
3642,6,0.728739
2442,4,0.735457
4890,8,0.735579
4,0,0.740495
4891,8,0.742173
5,0,0.749139
3073,5,0.755983
607,1,0.757621
5484,9,0.762326
4892,8,0.766037
4893,8,0.776244
1210,2,0.778565
2443,4,0.786772
3643,6,0.788127
5485,9,0.798694
3074,5,0.808062
4894,8,0.825153
3075,5,0.850183
3076,5,0.865478
6,0,0.894405
2444,4,0.92099
4261,7,0.929305
3077,5,0.944784
1211,2,0.951616
3644,6,0.95893
5486,9,0.960045
4895,8,0.969763
1856,3,0.988316
1212,2,0.991575
5487,9,0.995546
4896,8,1.023903
7,0,1.035401
5488,9,1.058107
1213,2,1.062531
2445,4,1.067168
2446,4,1.068671
4262,7,1.078737
4263,7,1.096427
608,1,1.098821
5489,9,1.137468
2447,4,1.138049
1857,3,1.145782
4897,8,1.148036
5490,9,1.165136
609,1,1.171407
4898,8,1.186564
3078,5,1.195686
3079,5,1.201493
2448,4,1.204002
2449,4,1.209386
4899,8,1.216296
2450,4,1.252293
2451,4,1.27115
2452,4,1.289778
610,1,1.296196
5491,9,1.311146
1214,2,1.315775
2453,4,1.322386
3645,6,1.325398
5492,9,1.337029
8,0,1.347831
1858,3,1.350693
9,0,1.35576
3080,5,1.355954
3646,6,1.366641
1215,2,1.388335
1216,2,1.39035
611,1,1.40359
612,1,1.403991
3647,6,1.407091
5493,9,1.416248
1859,3,1.422426
613,1,1.426289
3648,6,1.436276
3649,6,1.450667
4264,7,1.456002
4900,8,1.457438
5494,9,1.457871
10,0,1.460416
614,1,1.464316
11,0,1.46746
4901,8,1.491901
4265,7,1.508072
2454,4,1.524207
2455,4,1.525379
4266,7,1.528427
2456,4,1.546464
615,1,1.55759
3081,5,1.558704
2457,4,1.574761
12,0,1.576362
3082,5,1.590492
1217,2,1.591717
4902,8,1.597697
4903,8,1.598902
4267,7,1.607452
5495,9,1.616617
616,1,1.62581
3650,6,1.647566
4268,7,1.651349
1860,3,1.659348
4269,7,1.662145
4270,7,1.670548
2458,4,1.687682
1218,2,1.687869
4271,7,1.693083
3083,5,1.701243
4904,8,1.738254
2459,4,1.74064
13,0,1.749495
2460,4,1.760424
2461,4,1.778502
14,0,1.788185
4272,7,1.812554
4273,7,1.817567
4905,8,1.838867
5496,9,1.844234
2462,4,1.84428
1219,2,1.856767
3084,5,1.869751
4906,8,1.875566
1220,2,1.878447
3651,6,1.891659
5497,9,1.89569
1221,2,1.898911
15,0,1.911343
4274,7,1.915816
3652,6,1.91883
5498,9,1.924127
16,0,1.92672
17,0,1.935878
617,1,1.951041
1861,3,1.95203
5499,9,1.959391
5500,9,1.963449
18,0,1.967396
5501,9,1.977379
3085,5,1.986632
5502,9,1.991828
1862,3,1.992719
2463,4,2.005511
5503,9,2.007208
4907,8,2.015312
4275,7,2.01594
1863,3,2.01889
5504,9,2.021707
4276,7,2.022843
4908,8,2.023542
3653,6,2.028198
5505,9,2.028379
1864,3,2.03446
4277,7,2.040336
1865,3,2.041632
618,1,2.042621
5506,9,2.04736
3086,5,2.049057
2464,4,2.05583
19,0,2.057516
1866,3,2.074658
20,0,2.098815
3654,6,2.103929
2465,4,2.130265
4278,7,2.141716
3087,5,2.163755
3088,5,2.175064
3089,5,2.198735
619,1,2.200704
4909,8,2.205047
620,1,2.221566
21,0,2.223553
1867,3,2.225154
1868,3,2.232406
