predict_type,exec_time_seconds,style_type,prompt_length,negative_prompt_length,num_images_per_prompt,num_inference_steps,checkpoint_model_version_id,lora_args
e867a9754d73155e90d62f88dbedfc62,22.0,88585aaa7d5402c0928a0c8639c83bab,77.0,26.0,4.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,26.0,88585aaa7d5402c0928a0c8639c83bab,54.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,26.0,88585aaa7d5402c0928a0c8639c83bab,55.0,26.0,8.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,26.0,659b3aca8434712ef2808aa672f18eb5,50.0,26.0,4.0,30.0,ddd2e8c220072a5951b37078518ba809,[]
e867a9754d73155e90d62f88dbedfc62,13.0,88585aaa7d5402c0928a0c8639c83bab,54.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,7.0,88585aaa7d5402c0928a0c8639c83bab,49.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,8.0,88585aaa7d5402c0928a0c8639c83bab,43.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,10.0,88585aaa7d5402c0928a0c8639c83bab,70.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,8.0,88585aaa7d5402c0928a0c8639c83bab,62.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,19.0,659b3aca8434712ef2808aa672f18eb5,58.0,26.0,4.0,30.0,ddd2e8c220072a5951b37078518ba809,[]
e867a9754d73155e90d62f88dbedfc62,13.0,15d0db7a5e41fc1c1c595e16c66079c5,61.0,26.0,1.0,30.0,83c0982f2d5a8e7d5de8ab742af0d0b4,[]
e867a9754d73155e90d62f88dbedfc62,11.0,88585aaa7d5402c0928a0c8639c83bab,37.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,12.0,88585aaa7d5402c0928a0c8639c83bab,39.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,15.0,88585aaa7d5402c0928a0c8639c83bab,48.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,16.0,88585aaa7d5402c0928a0c8639c83bab,53.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,25.0,88585aaa7d5402c0928a0c8639c83bab,59.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,14.0,88585aaa7d5402c0928a0c8639c83bab,54.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,21.0,659b3aca8434712ef2808aa672f18eb5,62.0,26.0,1.0,30.0,ddd2e8c220072a5951b37078518ba809,[]
e867a9754d73155e90d62f88dbedfc62,14.0,88585aaa7d5402c0928a0c8639c83bab,44.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,27.0,659b3aca8434712ef2808aa672f18eb5,62.0,26.0,4.0,30.0,ddd2e8c220072a5951b37078518ba809,[]
e867a9754d73155e90d62f88dbedfc62,16.0,88585aaa7d5402c0928a0c8639c83bab,47.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,14.0,88585aaa7d5402c0928a0c8639c83bab,44.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
f54c9d4e8a16832ef4cd01da8f723c8c,15.0,,6.0,26.0,1.0,30.0,5f9cff98f1982632db41417a2f16a4ac,[]
f54c9d4e8a16832ef4cd01da8f723c8c,22.0,,10.0,26.0,1.0,30.0,e1cb4aba67e1a2a4e875f1f437b65488,[]
e867a9754d73155e90d62f88dbedfc62,17.0,88585aaa7d5402c0928a0c8639c83bab,47.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
f54c9d4e8a16832ef4cd01da8f723c8c,9.0,,10.0,33.0,1.0,30.0,e1cb4aba67e1a2a4e875f1f437b65488,[]
e867a9754d73155e90d62f88dbedfc62,15.0,88585aaa7d5402c0928a0c8639c83bab,63.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
f54c9d4e8a16832ef4cd01da8f723c8c,21.0,,10.0,28.0,1.0,30.0,e1cb4aba67e1a2a4e875f1f437b65488,[]
e867a9754d73155e90d62f88dbedfc62,17.0,88585aaa7d5402c0928a0c8639c83bab,39.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,17.0,88585aaa7d5402c0928a0c8639c83bab,68.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
f54c9d4e8a16832ef4cd01da8f723c8c,40.0,,10.0,28.0,1.0,30.0,e1cb4aba67e1a2a4e875f1f437b65488,[]
e867a9754d73155e90d62f88dbedfc62,11.0,88585aaa7d5402c0928a0c8639c83bab,58.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,17.0,88585aaa7d5402c0928a0c8639c83bab,58.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,11.0,88585aaa7d5402c0928a0c8639c83bab,47.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,16.0,88585aaa7d5402c0928a0c8639c83bab,58.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,10.0,88585aaa7d5402c0928a0c8639c83bab,47.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,19.0,,40.0,26.0,1.0,30.0,e1cb4aba67e1a2a4e875f1f437b65488,[]
e867a9754d73155e90d62f88dbedfc62,22.0,88585aaa7d5402c0928a0c8639c83bab,67.0,26.0,8.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,12.0,88585aaa7d5402c0928a0c8639c83bab,45.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,12.0,88585aaa7d5402c0928a0c8639c83bab,41.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,12.0,88585aaa7d5402c0928a0c8639c83bab,44.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,14.0,88585aaa7d5402c0928a0c8639c83bab,49.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,19.0,,20.0,26.0,1.0,30.0,e1cb4aba67e1a2a4e875f1f437b65488,[]
e867a9754d73155e90d62f88dbedfc62,9.0,88585aaa7d5402c0928a0c8639c83bab,39.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,18.0,,61.0,38.0,4.0,28.0,ddd2e8c220072a5951b37078518ba809,"[{'modelVersionId': '28d672f02fcf6d9a2d550d8713e941e3', 'scale': 1.0}]"
e867a9754d73155e90d62f88dbedfc62,13.0,659b3aca8434712ef2808aa672f18eb5,45.0,26.0,1.0,30.0,ddd2e8c220072a5951b37078518ba809,[]
e867a9754d73155e90d62f88dbedfc62,41.0,,6.0,26.0,2.0,50.0,0b7f47b6654625c66269d593d67f0568,[]
e867a9754d73155e90d62f88dbedfc62,16.0,,3.0,26.0,1.0,30.0,e1cb4aba67e1a2a4e875f1f437b65488,[]
e867a9754d73155e90d62f88dbedfc62,24.0,88585aaa7d5402c0928a0c8639c83bab,76.0,26.0,8.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,16.0,,6.0,26.0,1.0,30.0,e1cb4aba67e1a2a4e875f1f437b65488,[]
e867a9754d73155e90d62f88dbedfc62,21.0,88585aaa7d5402c0928a0c8639c83bab,65.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,25.0,,1.0,26.0,1.0,30.0,e1cb4aba67e1a2a4e875f1f437b65488,[]
e867a9754d73155e90d62f88dbedfc62,13.0,88585aaa7d5402c0928a0c8639c83bab,44.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,32.0,,10.0,26.0,2.0,50.0,9c67db8fe201faf57eae7420d5a21140,[]
e867a9754d73155e90d62f88dbedfc62,15.0,88585aaa7d5402c0928a0c8639c83bab,86.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,18.0,88585aaa7d5402c0928a0c8639c83bab,60.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,24.0,,9.0,26.0,1.0,30.0,e1cb4aba67e1a2a4e875f1f437b65488,[]
e867a9754d73155e90d62f88dbedfc62,26.0,88585aaa7d5402c0928a0c8639c83bab,62.0,26.0,8.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,25.0,,59.0,26.0,1.0,30.0,e1cb4aba67e1a2a4e875f1f437b65488,[]
f54c9d4e8a16832ef4cd01da8f723c8c,26.0,,64.0,26.0,2.0,30.0,46f0af0cb29ac748355144461ee7a1df,[]
e867a9754d73155e90d62f88dbedfc62,30.0,,12.0,26.0,2.0,50.0,9c67db8fe201faf57eae7420d5a21140,[]
e867a9754d73155e90d62f88dbedfc62,32.0,,11.0,26.0,1.0,30.0,3857029718a6e526058803f30398d214,[]
f54c9d4e8a16832ef4cd01da8f723c8c,24.0,,64.0,26.0,2.0,30.0,46f0af0cb29ac748355144461ee7a1df,[]
e867a9754d73155e90d62f88dbedfc62,95.0,,35.0,,4.0,30.0,072eaf615a80e47ea7ed1b7f9bfdbac5,"[{'modelVersionId': 'cbecf914a0a7d3eee3c998951ad344d6', 'scale': 0.6}]"
e867a9754d73155e90d62f88dbedfc62,22.0,88585aaa7d5402c0928a0c8639c83bab,56.0,26.0,8.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,23.0,88585aaa7d5402c0928a0c8639c83bab,144.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
f54c9d4e8a16832ef4cd01da8f723c8c,20.0,,10.0,28.0,1.0,30.0,e1cb4aba67e1a2a4e875f1f437b65488,[]
e867a9754d73155e90d62f88dbedfc62,19.0,88585aaa7d5402c0928a0c8639c83bab,448.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,18.0,88585aaa7d5402c0928a0c8639c83bab,156.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,18.0,88585aaa7d5402c0928a0c8639c83bab,68.0,26.0,2.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,19.0,,678.0,26.0,1.0,30.0,e1cb4aba67e1a2a4e875f1f437b65488,[]
e867a9754d73155e90d62f88dbedfc62,16.0,06e536f5c0819e7aa379dcd35556f441,42.0,26.0,1.0,30.0,4da23763f5721d525703525dd45c9ef7,[]
e867a9754d73155e90d62f88dbedfc62,24.0,,11.0,26.0,1.0,30.0,3857029718a6e526058803f30398d214,[]
e867a9754d73155e90d62f88dbedfc62,16.0,982976b1c0c8b925e2a7f7eeb62759eb,60.0,26.0,2.0,30.0,c6d6ddfb5a45cc6b7332e86c5e12775c,[]
e867a9754d73155e90d62f88dbedfc62,15.0,88585aaa7d5402c0928a0c8639c83bab,57.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,25.0,15d0db7a5e41fc1c1c595e16c66079c5,62.0,26.0,1.0,30.0,83c0982f2d5a8e7d5de8ab742af0d0b4,[]
e867a9754d73155e90d62f88dbedfc62,16.0,88585aaa7d5402c0928a0c8639c83bab,55.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,15.0,88585aaa7d5402c0928a0c8639c83bab,45.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,14.0,88585aaa7d5402c0928a0c8639c83bab,45.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,74.0,,42.0,,4.0,30.0,072eaf615a80e47ea7ed1b7f9bfdbac5,"[{'modelVersionId': 'cbecf914a0a7d3eee3c998951ad344d6', 'scale': 0.6}]"
e867a9754d73155e90d62f88dbedfc62,20.0,,11.0,26.0,1.0,30.0,8dacd5c55f930c33a73cf725c706ce4f,[]
e867a9754d73155e90d62f88dbedfc62,23.0,,45.0,38.0,4.0,28.0,ddd2e8c220072a5951b37078518ba809,"[{'modelVersionId': '28d672f02fcf6d9a2d550d8713e941e3', 'scale': 1.0}]"
e867a9754d73155e90d62f88dbedfc62,22.0,88585aaa7d5402c0928a0c8639c83bab,62.0,26.0,8.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,24.0,,11.0,26.0,1.0,30.0,8dacd5c55f930c33a73cf725c706ce4f,[]
e867a9754d73155e90d62f88dbedfc62,100.0,,42.0,,4.0,30.0,072eaf615a80e47ea7ed1b7f9bfdbac5,"[{'modelVersionId': 'cbecf914a0a7d3eee3c998951ad344d6', 'scale': 0.6}]"
e867a9754d73155e90d62f88dbedfc62,19.0,88585aaa7d5402c0928a0c8639c83bab,54.0,26.0,8.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,21.0,88585aaa7d5402c0928a0c8639c83bab,52.0,26.0,8.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,27.0,,67.0,26.0,1.0,30.0,e1cb4aba67e1a2a4e875f1f437b65488,[]
e867a9754d73155e90d62f88dbedfc62,20.0,,22.0,26.0,1.0,30.0,8dacd5c55f930c33a73cf725c706ce4f,[]
f54c9d4e8a16832ef4cd01da8f723c8c,23.0,,6.0,26.0,1.0,30.0,e1cb4aba67e1a2a4e875f1f437b65488,[]
e867a9754d73155e90d62f88dbedfc62,33.0,,22.0,26.0,1.0,30.0,8dacd5c55f930c33a73cf725c706ce4f,[]
e867a9754d73155e90d62f88dbedfc62,24.0,88585aaa7d5402c0928a0c8639c83bab,57.0,26.0,8.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
f54c9d4e8a16832ef4cd01da8f723c8c,12.0,,5.0,26.0,1.0,30.0,e1cb4aba67e1a2a4e875f1f437b65488,[]
e867a9754d73155e90d62f88dbedfc62,106.0,,32.0,,4.0,30.0,072eaf615a80e47ea7ed1b7f9bfdbac5,"[{'modelVersionId': 'cbecf914a0a7d3eee3c998951ad344d6', 'scale': 0.6}]"
e867a9754d73155e90d62f88dbedfc62,21.0,88585aaa7d5402c0928a0c8639c83bab,54.0,26.0,8.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,19.0,88585aaa7d5402c0928a0c8639c83bab,52.0,26.0,8.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,17.0,88585aaa7d5402c0928a0c8639c83bab,62.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
f54c9d4e8a16832ef4cd01da8f723c8c,33.0,,22.0,26.0,1.0,30.0,8dacd5c55f930c33a73cf725c706ce4f,[]
e867a9754d73155e90d62f88dbedfc62,119.0,,39.0,,4.0,30.0,072eaf615a80e47ea7ed1b7f9bfdbac5,"[{'modelVersionId': 'cbecf914a0a7d3eee3c998951ad344d6', 'scale': 0.6}]"
e867a9754d73155e90d62f88dbedfc62,21.0,88585aaa7d5402c0928a0c8639c83bab,51.0,26.0,8.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,11.0,88585aaa7d5402c0928a0c8639c83bab,35.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
f54c9d4e8a16832ef4cd01da8f723c8c,47.0,,22.0,26.0,1.0,30.0,8dacd5c55f930c33a73cf725c706ce4f,[]
f54c9d4e8a16832ef4cd01da8f723c8c,45.0,,22.0,26.0,1.0,30.0,8dacd5c55f930c33a73cf725c706ce4f,[]
e867a9754d73155e90d62f88dbedfc62,100.0,,39.0,,4.0,30.0,072eaf615a80e47ea7ed1b7f9bfdbac5,"[{'modelVersionId': 'cbecf914a0a7d3eee3c998951ad344d6', 'scale': 0.6}]"
e867a9754d73155e90d62f88dbedfc62,11.0,88585aaa7d5402c0928a0c8639c83bab,58.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,22.0,88585aaa7d5402c0928a0c8639c83bab,55.0,26.0,8.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,123.0,,31.0,,4.0,30.0,072eaf615a80e47ea7ed1b7f9bfdbac5,"[{'modelVersionId': 'cbecf914a0a7d3eee3c998951ad344d6', 'scale': 0.6}]"
e867a9754d73155e90d62f88dbedfc62,30.0,88585aaa7d5402c0928a0c8639c83bab,66.0,26.0,8.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,9.0,88585aaa7d5402c0928a0c8639c83bab,48.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,13.0,88585aaa7d5402c0928a0c8639c83bab,49.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,20.0,88585aaa7d5402c0928a0c8639c83bab,46.0,26.0,8.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,12.0,88585aaa7d5402c0928a0c8639c83bab,49.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,7.0,88585aaa7d5402c0928a0c8639c83bab,48.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,87.0,,32.0,,4.0,30.0,072eaf615a80e47ea7ed1b7f9bfdbac5,"[{'modelVersionId': 'cbecf914a0a7d3eee3c998951ad344d6', 'scale': 0.6}]"
e867a9754d73155e90d62f88dbedfc62,11.0,88585aaa7d5402c0928a0c8639c83bab,52.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
e867a9754d73155e90d62f88dbedfc62,13.0,88585aaa7d5402c0928a0c8639c83bab,52.0,26.0,1.0,30.0,0a80ffe64c68aa574e80e6c9b9f5308a,[]
