req_id,client_id,send_time_rel
0,0,0.0
1191,1,0.0
2390,2,0.0
3661,3,0.0
4834,4,0.0
6059,5,0.0
7158,6,0.0
8375,7,0.0
9612,8,0.0
10811,9,0.0
1192,1,0.008273
1193,1,0.012571
1194,1,0.015243
2391,2,0.018531
8376,7,0.030761
3662,3,0.038083
2392,2,0.04279
10812,9,0.064742
8377,7,0.065615
4835,4,0.071185
9613,8,0.074547
1195,1,0.074804
4836,4,0.078823
3663,3,0.081563
8378,7,0.088432
9614,8,0.100347
2393,2,0.103074
1,0,0.12021
10813,9,0.129292
6060,5,0.136907
4837,4,0.13886
7159,6,0.149209
3664,3,0.15025
1196,1,0.152497
2394,2,0.156881
8379,7,0.162539
3665,3,0.167683
4838,4,0.169392
10814,9,0.171595
1197,1,0.172708
6061,5,0.185311
2395,2,0.185532
9615,8,0.187027
2396,2,0.190026
8380,7,0.194038
8381,7,0.195224
10815,9,0.206172
7160,6,0.206858
9616,8,0.226979
2397,2,0.229586
3666,3,0.230166
2,0,0.23702
1198,1,0.239833
3667,3,0.24005
9617,8,0.240894
4839,4,0.245084
1199,1,0.245857
6062,5,0.246381
4840,4,0.2488
3668,3,0.254237
6063,5,0.254723
3669,3,0.259886
4841,4,0.268273
3670,3,0.279073
7161,6,0.288143
10816,9,0.294198
6064,5,0.295452
1200,1,0.299297
3671,3,0.314901
10817,9,0.319754
2398,2,0.323705
1201,1,0.326287
3672,3,0.335413
3,0,0.356258
7162,6,0.35989
6065,5,0.363888
7163,6,0.364369
4842,4,0.367729
9618,8,0.36779
4,0,0.370248
9619,8,0.371086
5,0,0.37457
6066,5,0.377991
1202,1,0.378811
10818,9,0.381163
9620,8,0.383019
9621,8,0.388122
2399,2,0.389282
4843,4,0.393386
7164,6,0.394063
10819,9,0.399347
6067,5,0.404031
9622,8,0.412576
6068,5,0.425091
6069,5,0.432739
6,0,0.447203
4844,4,0.460495
8382,7,0.464653
6070,5,0.472392
2400,2,0.475808
7165,6,0.479465
10820,9,0.480023
9623,8,0.484882
3673,3,0.494158
2401,2,0.495787
10821,9,0.497773
9624,8,0.511952
7,0,0.517701
10822,9,0.529054
2402,2,0.531265
4845,4,0.533584
4846,4,0.534336
8383,7,0.539369
8384,7,0.548213
1203,1,0.54941
10823,9,0.568734
4847,4,0.569025
3674,3,0.572891
9625,8,0.574018
10824,9,0.582568
1204,1,0.585703
9626,8,0.593282
6071,5,0.597843
6072,5,0.600746
4848,4,0.602001
4849,4,0.604693
9627,8,0.608148
4850,4,0.626146
4851,4,0.635575
4852,4,0.644889
1205,1,0.648098
10825,9,0.655573
2403,2,0.657888
4853,4,0.661193
7166,6,0.662699
10826,9,0.668515
8,0,0.673915
3675,3,0.675347
9,0,0.67788
6073,5,0.677977
7167,6,0.68332
2404,2,0.694167
2405,2,0.695175
1206,1,0.701795
1207,1,0.701995
7168,6,0.703545
10827,9,0.708124
3676,3,0.711213
1208,1,0.713144
7169,6,0.718138
7170,6,0.725333
8385,7,0.728001
9628,8,0.728719
10828,9,0.728935
10,0,0.730208
1209,1,0.732158
11,0,0.73373
9629,8,0.745951
8386,7,0.754036
4854,4,0.762103
4855,4,0.76269
8387,7,0.764214
4856,4,0.773232
1210,1,0.778795
6074,5,0.779352
4857,4,0.787381
12,0,0.788181
6075,5,0.795246
2406,2,0.795859
9630,8,0.798848
9631,8,0.799451
8388,7,0.803726
10829,9,0.808308
1211,1,0.812905
7171,6,0.823783
8389,7,0.825674
3677,3,0.829674
8390,7,0.831073
8391,7,0.835274
4858,4,0.843841
2407,2,0.843935
8392,7,0.846542
